No FOGO;MEDIDA;FABRICANTE;MODELO;DOT;SULCO;SIST.REF;TIPO;VIDA;ANOMALIA;ANOMALIA;ANOMALIA
?;295/80R22.5;Mic;Xze;14;4,0;1;L;1;34;;
?;295/80R22.5;Pir;Fr85;12;8,0;1;L;2;34;;
?;295/80R22.5;Pir;Fg85;13;3,0;1;T;1;12;;
?;295/80R22.5;Bri;R250;08;1,0;1;L;2;32;34;
?;295/80R22.5;Bri;R297;11;12,0;1;L;1;12;;
?;295/80R22.5;Mic;Xde 2+;13;8,0;1;T;2;38;;
?;385/65R22.5;O;UR288;11;5,0;;L;NV;17;34;
AC 04766P;295/80R22.5;Mic;Xze2+;13;11,0;1;L;2;32;;
BCK31548A;295/80R22.5;Mic;Xze;13;1,0;1;L;1;2;34;
FCP26499A;295/80R22.5;Mic;Xze2+;12;1,0;1;L;1;17;;
KBE70960;295/80R22.5;Pir;Fg01;16;5,0;;M;NV;14;;
KLC13052F;295/80R22.5;Mic;Xze2+;11;11,0;1;L;1;34;2;
KTP37465;295/80R22.5;Pir;Fg85;?;6,0;1;L;1;40;;
KWU65398;295/80R22.5;Pir;Fg85;14;11,0;;L;NV;38;;
KXA08216;295/80R22.5;Pir;Fg85;13;4,0;;M;NV;12;;
KXA64210;295/80R22.5;Pir;Fg85;13;7,0;1;L;1;34;;
KXE51575;295/80R22.5;Pir;Fg85;13;10,0;1;L;1;8;;
KXF44614;295/80R22.5;Pir;Fg85;13;8,0;1;T;1;41;34;
KXN81901;295/80R22.5;Pir;Fg85;13;5,0;1;L;1;12;;
KXU94269;295/80R22.5;Pir;Fg85;13;7,0;1;L;1;34;;
KZP7387C;295/80R22.5;Pir;FR85;12;12,0;1;M;2;12;;
PLC19293F;295/80R22.5;Mic;Xze2+;11;5,0;1;L;1;32;34;
q18312;295/80R22.5;Pir;Fg01;14;3,0;1;L;1;12;;
S/!N;295/80R22.5;Pir;Fg85;13;12,0;1;L;1;35;;
S/!N;295/80R22.5;Pir;Fg85;13;12,0;1;L;1;35;;
S/N;295/80R22.5;Goo;G658;13;1,0;1;M;1;34;;
S/N;295/80R22.5;Bri;R227;13;7,0;1;T;1;32;34;
S/N;295/80R22.5;Bri;M729;10;3,0;1;T;1;40;;
S/N;295/80R22.5;Bri;M729;12;7,0;1;T;1;34;2;
S/N;295/80R22.5;Mic;Xzy-2;13;7,0;1;L;2;14;;
S/N;295/80R22.5;Mic;Xde2+;13;7,0;1;L;3;38;2;
s/N;295/80R22.5;Mic;Xze;14;4,0;1;T;1;8;;
S/N;295/80R22.5;Pir;Fg85;13;9,0;1;L;1;34;2;
S/N;295/80R22.5;Pir;Fg85;13;6,0;;M;NV;12;28;
S/N;295/80R22.5;Mic;Xzy-2;13;7,0;1;L;2;14;;
S/N;295/80R22.5;Mic;Xde2+;13;7,0;1;L;3;38;2;
s/N;295/80R22.5;Mic;Xze;14;4,0;1;T;1;8;;
S/N;295/80R22.5;Pir;Fg85;13;9,0;1;L;1;34;2;
S/N;295/80R22.5;Pir;Fg85;13;6,0;;M;NV;12;28;
UCP55627P;295/80R22.5;Mic;Xze2+;13;9,0;1;L;1;34;;
UPC0808H;295/80R22.5;Mic;Xze2+;13;10,0;1;L;1;14;;
ZA 02048M;295/80R22.5;Mic;Xze2+;?;1,0;1;L;1;32;34;
10824;295/80R22.5;Pir;Fr85;10;1,0;1;L;2;32;34;
11314;295/80R22.5;Pir;Fr85;11;11,0;1;L;2;5;2;
11574;295/80R22.5;Pir;Fr85;10;8,0;1;L;2;2;34;
11940;295/80R22.5;Pir;Fr85;11;7,0;1;L;2;34;2;
12439;295/80R22.5;Mic;Xze2+;11;6,0;1;L;2;40;;
13522;295/80R22.5;Pir;Fr85;12;8,0;1;L;1;34;2;
13709;295/80R22.5;Pir;Fg85;13;7,0;1;L;1;25;;
13761;295/80R22.5;Pir;Fr85;14;9,0;1;L;1;34;2;
14238;295/80R22.5;Pir;Fg85;12;7,0;1;T;1;12;;
14580;295/80R22.5;Pir;Fg85;13;7,0;;L;NV;40;47;
14609;295/80R22.5;Pir;Fr85;13;7,0;1;L;1;34;35;
14869;295/80R22.5;Mic;Xze2+;13;10,0;1;L;2;8;;
15186;295/80R22.5;Bri;M729;13;3,0;1;T;1;12;;
15301;295/80R22.5;Pir;Fr85;13;6,0;1;T;1;12;;
15603;295/80R22.5;Mic;Xze2+;13;9,0;1;T;2;32;34;
16705;295/80R22.5;Pir;Fg85;13;9,0;1;L;1;12;;
17190;295/80R22.5;Pir;Fg85;14;7,0;;L;NV;40;;
19598;295/80R22.5;Pir;Fg01;15;14,0;;M;NV;14;;
26213;295/80R22.5;Pir;Fr85;12;8,0;1;T;2;41;34;
48778;295/80R22.5;Pir;Fg85;13;6,0;1;L;2;34;;
49167;295/80R22.5;Pir;Fr01;13;7,0;1;L;2;34;2;
100014;295/80R22.5;Pir;Fr85;15;10,0;1;T;1;32;34;
ICJ08610H;295/80R22.5;Mic;Xze2+;11;9,0;1;L;2;34;;
KX56908E;295/80R22.5;Pir;Fg85;13;5,0;;L;NV;12;;
KXE03101;295/80R22.5;Pir;Fr85;13;9,0;1;L;2;31;;
S/N;295/80R22.5;Fir;Fs511;10;2,0;1;L;1;34;;
S/N;295/80R22.5;Bri;R297;12;10,0;1;T;1;40;;
YCK52706P;295/80R22.5;Mic;Xde2+;13;4,0;1;T;1;34;;
ZHO09673H;295/80R22.5;Mic;Xze2+;10;9,0;1;L;2;25;;
15993;295/80R22.5;Pir;Fr85;13;11,0;1;L;2;34;35;
S/N;295/80R22.5;Con;Hsr1;10;2,0;1;M;1;8;;
S/N;295/80R22.5;Bri;R250;07;9,0;1;L;2;34;8;
14883;295/80R22.5;Mic;Xze2+;12;7,0;1;T;1;2;;
16172;295/80R22.5;Pir;Fr85;13;5,0;1;L;1;34;2;
47548;295/80R22.5;Pir;Fr01;13;8,0;1;L;2;35;;
14977;295/80R22.5;Mic;Xde2+;13;5,0;1;L;1;32;;
CCR20705A;295/80R22.5;Mic;Xze;14;9,0;1;T;1;34;;
11626;295/80R22.5;Pir;Fr85;11;7,0;1;L;1;12;;
13985;295/80R22.5;Pir;Fr85;12;10,0;1;L;1;32;34;
14579;295/80R22.5;Pir;Fg85;13;5,0;1;L;1;5;2;
14829;295/80R22.5;Pir;Fr85;13;3,0;1;L;3;34;2;
14844;295/80R22.5;Mic;Xze2+;16;12,0;2;M;2;12;;
14889;295/80R22.5;Mic;Fg01;12;8,0;1;L;2;8;;
15105;295/80R22.5;Mic;Xde2+;13;4,0;1;L;1;32;3;
15487;295/80R22.5;Mic;Xde2+;15;10,0;1;L;2;34;;
15490;295/80R22.5;Mic;Xde2+;13;3,0;1;T;1;34;;
15556;295/80R22.5;Mic;Xde2+;13;7,0;1;T;2;34;;
16203;295/80R22.5;Pir;Fg85;13;3,0;1;T;1;40;34;
16598;295/80R22.5;Pir;Fg01;15;14,0;;M;NV;14;;
16882;295/80R22.5;Pir;Fg85;13;32,0;1;L;1;12;;
17649;295/80R22.5;Mic;Xze;14;13,0;2;L;2;6;35;
18897;295/80R22.5;Pir;Fg85;13;9,0;1;L;1;8;;
19591;295/80R22.5;Pir;Fg01;15;8,0;1;T;2;5;;
29032;295/80R22.5;Con;Hsr2;10;8,0;;L;NV;12;;
49301;295/80R22.5;Goo;G667;13;5,0;1;L;2;41;8;25
51234;295/80R22.5;Goo;G667;13;1,0;1;L;1;34;35;
100481;295/80R22.5;Pir;Fg01;16;8,0;1;L;1;3;;
100536;295/80R22.5;O;Driver II;13;11,0;;L;NV;14;;
102674;295/80R22.5;Con;Fg85;16;13,0;;L;NV;6;;
EXT29238;295/80R22.5;O;Driver II;13;4,0;1;L;1;5;;
JXE7160F;295/80R22.5;Pir;Fg85;13;3,0;1;T;1;25;;
KVP52566;295/80R22.5;Pir;Tr85;11;10,0;1;T;2;5;25;
KWN40973;295/80R22.5;Pir;Fr85;11;9,0;;L;NV;8;;
S/N;295/80R22.5;Mic;Xde2+ ;11;6,0;1;L;1;35;;
S/N;295/80R22.5;Fat;Sr200;09;2,0;1;L;1;40;;
S/N;295/80R22.5;O;S360;13;1,0;1;L;2;31;;
UCH30601P;295/80R22.5;Mic;Xze2+;09;4,0;1;L;2;12;;
UCP08473M;295/80R22.5;Mic;Xze2+;13;9,0;1;L;1;41;35;
ZCK04645M;295/80R22.5;Mic;Xze2+;13;7,0;1;L;1;34;;
S/N;275/80R22.5;Goo;G665;125;8,0;1;L;1;8;;
S/N;275/80R22.5;Con;Hsr2;12;1,0;1;L;1;17;;
S/N;275/80R22.5;Con;Hsr2;12;2,0;1;L;1;34;;
72;275/80R22.5;Con;Hsr2;12;1,0;1;L;1;17;;
11834;295/80R22.5;Pir;Fr85;11;9,0;1;L;1;34;2;
11820;295/80R22.5;Pir;Fr85;11;7,0;;L;NV;12;;
13170;295/80R22.5;Mic;Xde2+;11;2,0;1;L;2;35;;
13503;295/80R22.5;Pir;Fg85;12;7,0;1;L;1;2;34;
13876;295/80R22.5;Pir;Fr85;14;8,0;1;T;1;34;;
14032;295/80R22.5;Pir;Fr85;12;8,0;;L;NV;39;;
14262;295/80R22.5;Pir;Fg85;12;6,0;1;L;1;12;;
14329;295/80R22.5;Pir;Fg85;12;3,0;1;T;1;12;;
14555;295/80R22.5;Pir;Fr85;13;6,0;;T;NV;34;35;
14766;295/80R22.5;Pir;Fr85;13;8,0;1;L;1;12;;
14883;295/80R22.5;Mic;Xze2+;12;6,0;1;T;2;34;2;
15083;295/80R22.5;Mic;Xze2+;12;10,0;1;L;1;41;34;
15215;295/80R22.5;Bri;R227;13;3,0;1;L;1;12;;
15850;295/80R22.5;Mic;Xde2+;13;3,0;1;T;1;12;;
16006;295/80R22.5;Pir;Fr85;13;6,0;1;T;1;12;;
16128;295/80R22.5;Pir;Fg85;13;2,0;1;T;1;12;;
16172;295/80R22.5;Pir;Fr85;13;4,0;1;T;2;14;;
16553;295/80R22.5;Mic;Xde2+;13;8,0;1;T;1;34;;
16986;295/80R22.5;Pir;Fg85;13;10,0;1;L;1;35;26;
17021;295/80R22.5;Pir;Fg85;13;4,0;;M;NV;34;34;
17412;295/80R22.5;Pir;Fr01;14;11,0;1;L;1;41;35;
18772;295/80R22.5;Pir;Fg01;04;12,0;1;L;1;34;;
19731;295/80R22.5;Pir;Fg01;13;10,0;1;L;1;6;;
50861;295/80R22.5;Pir;Fr01;13;9,0;1;L;3;12;;
1616865;295/80R22.5;Pir;Fg85;13;8,0;1;L;1;5;2;
' 07444;295/80R22.5;Mic;Xze2+;08;2,0;1;L;2;40;;
ACK03479M;295/80R22.5;Mic;Xze2+;13;2,0;1;T;1;8;;
KSV61869;295/80R22.5;Pir;Fr85;p9;4,0;2;L;1;12;25;
KVU51393;295/80R22.5;Pir;Fg85;15;8,0;1;L;1;3;;
Kxu94369;295/80R22.5;Pir;Fg85;13;8,0;1;L;1;12;;
S/N;295/80R22.5;Con;Hdr2;13;;1;L;1;12;;
S/N;295/80R22.5;Bri;R268;13;7,0;;L;NV;14;;
S/N;295/80R22.5;Bri;R268;13;10,0;;L;NV;12;;
S/N;295/80R22.5;Con;Hsr2;01;5,0;1;L;1;14;;
S/N;295/80R22.5;Bri;M840;13;5,0;;M;NV;14;;
St4211;295/80R22.5;Mic;Xze2+;07;2,0;1;L;1;40;40;
ZCK04925M;295/80R22.5;Mic;Xze2+;13;3,0;1;L;1;34;2;
16828;295/80R22.5;Pir;Fg85;13;5,0;1;T;1;40;;
15651;295/80R22.5;Mic;Xe2+;13;12,0;2;M;2;32;34;
100180;295/80R22.5;Pir;Fg01;15;13,0;;M;NV;40;;
36230;295/80R22.5;Goo;G667;11;9,0;1;L;3;41;34;35
13869;295/80R22.5;Pir;Fr85;12;7,0;1;L;1;12;;
13191;295/80R22.5;Mic;Xde2+;11;4,0;1;T;3;34;35;
17812;295/80R22.5;Mic;Xze;14;8,0;1;L;1;8;;
S/N;295/80R22.5;Pir;Fg85;13;5,0;1;T;1;34;;
15666;295/80R22.5;Mic;Xde2+;13;1,0;1;L;2;34;;
16415;295/80R22.5;Pir;Fg85;13;5,0;1;T;1;34;35;8
S/N;295/80R22.5;Bri;R268;13;8,0;;L;NV;12;;
S/N;295/80R22.5;Bri;R268;13;9,0;;L;NV;12;;
S/N;295/80R22.5;Bri;R297;13;8,0;1;L;1;34;;
17119;295/80R22.5;Pir;Fg01;14;3,0;1;T;1;40;;
18702;295/80R22.5;Pir;Fh01;15;10,0;1;L;1;12;;
